Módulo (Nivel),Dia de la semana,Tema Principal (Gramática / Estructura),Enfoque Práctico (Para los Tracks de Cotorreo),Columna 1,Columna 2,Columna 3,Columna 4,Estado,Propietario,Fecha de inicio,Fecha de finalización,Warm Up,Core Phase: Input,Core Phase: Output
Basic — B1 Foundation,Lun,Sem 1 — Modal Verbs,"Modal Verbs (Can, Should, Must)",Verbs Pack 1 — Daily Routine & Work,Nouns Pack 1 — Modern Nomad,,WH Questions | Prep. Place,En curso,Israel Martinez,28/4/2026,,presentations,presentations,presentations
Basic — B1 Foundation,Mar,Sem 1 — Modal Verbs,"Modal Verbs (Can, Should, Must)",Verbs Pack 1 — Daily Routine & Work,Nouns Pack 1 — Modern Nomad,,WH Questions | Prep. Place,En curso,Israel Martinez,29/4/2026,,presentations,presentations,presentations
Basic — B1 Foundation,Mie,Sem 1 — Modal Verbs,"Modal Verbs (Can, Should, Must)",Verbs Pack 1 — Daily Routine & Work,Nouns Pack 1 — Modern Nomad,,WH Questions | Prep. Place,En curso,Israel Martinez,30/4/2026,,presentations,presentations,presentations
Basic — B1 Foundation,Jue,Sem 1 — Modal Verbs,"Modal Verbs (Can, Should, Must)",Verbs Pack 1 — Daily Routine & Work,Nouns Pack 1 — Modern Nomad,,WH Questions | Prep. Place,En curso,Israel Martinez,1/5/2026,,presentations,presentations,presentations
Basic — B1 Foundation,Vie,Sem 1 — Modal Verbs,"Modal Verbs (Can, Should, Must)",Verbs Pack 1 — Daily Routine & Work,Nouns Pack 1 — Modern Nomad,,WH Questions | Prep. Place,En curso,Israel Martinez,2/5/2026,,presentations,presentations,presentations
Basic — B1 Foundation,Sat,Sem 1 — Modal Verbs,"Modal Verbs (Can, Should, Must)",Verbs Pack 1 — Daily Routine & Work,Nouns Pack 1 — Modern Nomad,,WH Questions | Prep. Place,En curso,Israel Martinez,3/5/2026,,presentations,presentations,presentations
Basic — B1 Foundation,Lun,Sem 2 — Present Simple,"Present Simple (Do / Does, 3rd person -s)",Verbs Pack 2 — Home & Communication,Nouns Pack 2 — Hungry Traveler,Adj Pack 1 — Personality & Looks,Frequency Adverbs,En curso,Israel Martinez,28/4/2026,,reading,reading,reading
Basic — B1 Foundation,Mar,Sem 2 — Present Simple,"Present Simple (Do / Does, 3rd person -s)",Verbs Pack 2 — Home & Communication,Nouns Pack 2 — Hungry Traveler,Adj Pack 1 — Personality & Looks,Frequency Adverbs,En curso,Israel Martinez,29/4/2026,,reading,reading,reading
Basic — B1 Foundation,Mie,Sem 2 — Present Simple,"Present Simple (Do / Does, 3rd person -s)",Verbs Pack 2 — Home & Communication,Nouns Pack 2 — Hungry Traveler,Adj Pack 1 — Personality & Looks,Frequency Adverbs,En curso,Israel Martinez,30/4/2026,,reading,reading,reading
Basic — B1 Foundation,Jue,Sem 2 — Present Simple,"Present Simple (Do / Does, 3rd person -s)",Verbs Pack 2 — Home & Communication,Nouns Pack 2 — Hungry Traveler,Adj Pack 1 — Personality & Looks,Frequency Adverbs,Sin comenzar,Israel Martinez,1/5/2026,,reading,reading,reading
